date,amount,currency,vendor,source
2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561",1104-receipt.jpg.json
2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173",1069-receipt.jpg.json
2018-09-06,73.24,USD,"Via Mar Restaurant, 4105 Maine Ave, Baldwin park, CA 91706",1154-receipt.jpg.json
2019-01-24,9.58,USD,CAFE PARISIEN LARCHMONT LLC,1057-receipt.jpg.json
2019-06-23,26.67,USD,"BK SOUL FOOD & CATERING, 11318 Yonkers Ave, Yonkers, NY 10704",1043-receipt.jpg.json
2019-04-01,33.26,USD,"8930 Mission Dr. #102, Rosemead, CA 91770",1012-receipt.jpg.json
2017-06-28,13.25,USD,"EL POLLO LOCO, 7519 S. ATLANTIC AVE. CUDÁHY, CA 90201",1097-receipt.jpg.json
2018-11-16,"93,58",USD,"Akira, 888 8th Ave, New York, NY 10019",1006-receipt.jpg.json
2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580",1092-receipt.jpg.json
2018-01-23,45.79,USD,Taco Maria,1065-receipt.jpg.json
2016-12-07,142.93,USD,Firepoint Grill,1089-receipt.jpg.json
2017-09-27,7.61,USD,"CARL'S JR, 11961 Beach Blvd.
Stanton, CA 90680",1168-receipt.jpg.json
2019-07-30,152.00,USD,"ZOCA RESTAURANT, 98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930",1056-receipt.jpg.json
2017-08-24,16.56,USD,600 E Grand Ave,1173-receipt.jpg.json
2017-06-14,27.62,USD,"15848 Halliburton Rd, Hacienda Heights, CA 91745",1109-receipt.jpg.json
2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019",1190-receipt.jpg.json
2019-04-10,13.53,USD,"215 Cypress Ave, Snohomish, WA 98290",1151-receipt.jpg.json
2018-01-30,146.73,USD,"E. BALDI, 375 North Canon Drive, Beverly Hills, CA 90210",1135-receipt.jpg.json
2015-08-06,22.7,USD,East Hampton,1164-receipt.jpg.json
2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040",1016-receipt.jpg.json
2016-11-24,13.00,USD,"Z3/7, Sita Ram Quay, Phnom Penh, Cambodia",1147-receipt.jpg.json
2017-12-17,83.5,USD,1660 India Street,1060-receipt.jpg.json
2018-04-13,55.38,USD,"ipanema Brazilian Steak House, 2023 South Pine Avenue, Ocala, Florida 34471",1174-receipt.jpg.json
2018-03-08,46.4,USD,"81 Ludlow St, New York, NY 10002",1144-receipt.jpg.json
2017-09-23,85.07,USD,730 Tavern Kitchen & Patio,1047-receipt.jpg.json
2019-08-30,68.99,USD,"KALAVERAS MEXICAN CUISINE & BAR, 16530 BELLFLOWER BLVD BELLFLOWER, CA 90706",1128-receipt.jpg.json
2018-10-25,26.76,USD,DINE_IN,1127-receipt.jpg.json
2017-10-01,84.78,USD,Arthur's,1143-receipt.jpg.json
2013-03-16,164.89,USD,"Everett, WA",1037-receipt.jpg.json
2019-05-18,15.03,USD,"GOLDEN BOWL TERIYAKI, 8610 Garfield Ave. South Gate, CA 90280",1004-receipt.jpg.json
2016-02-12,28.4,USD,"JT's Diner, 37011 Cook Street",1185-receipt.jpg.json
2018-10-29,37.37,USD,Moonstar Restaurant,1022-receipt.jpg.json
2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560",1080-receipt.jpg.json
2014-05-22,14.36,USD,SmokeBoxBBQ,1075-receipt.jpg.json
2019-04-19,28.04,USD,SUKHOTHAI SUSHI + ASIAN FUSION,1040-receipt.jpg.json
2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314",1021-receipt.jpg.json
2018-09-15,26.37,USD,Chili's Grill & Bar,1061-receipt.jpg.json
2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA RUSSELL'S RESTAURANT,1157-receipt.jpg.json
2016-11-12,117.0,USD,JBR,1165-receipt.jpg.json
